品牌车型,,,,,,,,购买年份,里程,销售方式,特点,原价/万,是否有补贴,现价/万
Smart, smart, fortwo, 2015款, 1.0L, 52千瓦硬顶灵动版,,,2016, 0.7万公里, 到店服务,严选车,12.7,0,7.72
雷诺, 卡缤, 2015款, 1.2T, 自动标准版(进口),,,,2016, 4.3万公里, 到店服务,严选车,15.2,0,6.7
本田, 锋范经典, 2012款, 1.5L, 手动精英版,,,,2013, 2.6万公里, 到店服务,严选车,10.8,1,4.36
丰田, 雅力士, 2009款, 1.6E, 自动舒适版,,,,2010, 5.1万公里, 到店服务,超值严选车,15.6,0,3.26
标致408, 2013款, 2.0L, 自动舒适版,,,,,2013, 5.6万公里, 到店服务,严选车,9.6,0,4.09
海马M6, 2015款, 1.5T, 手动运动智能型,,,,,2015, 2.9万公里, 到店服务,超值严选车,13.9,0,3.85
标致308S, 2015款, 1.2T, 自动劲驰版,,,,,2017, 3.9万公里, 到店服务,严选车,21.7,1,7.04
福特, 福克斯, 2011款, 两厢, 1.8L, 自动时尚型,,,2010, 10.3万公里, 店内直卖,严选车,9.1,0,2.71
日产, 天籁, 2008款, 2.0L, XL舒适版,,,,2010, 5.5万公里, 到店服务,超值严选车,21.4,0,6.39
MG3, 2016款, 1.5L, AMT精英版,,,,,2016, 1.6万公里, 到店服务,严选车,20.6,0,4.33
日产, 奇骏, 2014款, 2.0L, CVT舒适版, 2WD,,,2015, 5.7万公里, 到店服务,超值严选车,10.9,0,11.46
雪铁龙C5, 2013款, 2.0L, 自动尊享型,,,,,2013, 8.7万公里, 到店服务,超值严选车,11.3,0,6.04
大众POLO, 2011款, 劲取, 1.6L, 手动实酷版,,,,2012, 8.2万公里, 到店服务,超值严选车,13,0,2.87
大众POLO, 2014款, 1.6L, 自动舒适版,,,,,2014, 5.7万公里, 到店服务,超值严选车,16.2,0,5.1
荣威RX5, 2016款, 20T, 两驱手动旗舰版,,,,,2017, 8.8万公里, 到店服务,严选车,12.4,0,6.01
标致408, 2014款, 1.8L, 自动豪华版,,,,,2015, 7.1万公里, 到店服务,严选车,20.9,0,6.2
